card_id,front,back,deck_name,tags
Invasive research techniques,Invasive research techniques,&nbsp; &nbsp; &nbsp; • Lesions<div>&nbsp; &nbsp; &nbsp; • Single-cell electrophysiology measures action potentials on neurons as animals are subjected to different experiences</div><div>&nbsp; &nbsp; &nbsp; &nbsp;◦ David Hubel &amp; Torsten Weisel received Nobel prize for using this technique with cats</div><div>&nbsp; &nbsp; &nbsp; • Electrical stimulation</div>,Anthro (Psych/Soc/Econ/Health),behavior
&nbsp; &nbsp; &nbsp;‣ Non invasive data collection techniques,&nbsp; &nbsp; &nbsp;‣ Non invasive data collection techniques,"&nbsp; &nbsp; &nbsp; • Electroencephalography - no spatial resolution<div>&nbsp; &nbsp; &nbsp; • MRI has better spatial resolution</div><div>&nbsp; &nbsp; &nbsp; • FMRI compares brain activity across several environmental conditions</div><div>&nbsp; &nbsp; &nbsp; • Axial, coronal, sagittal&nbsp;</div>",Anthro (Psych/Soc/Econ/Health),behavior
Ben Barres,Ben Barres,1954-2017; neuroscientist and trans man; “The Godfather of glia”,Anthro (Psych/Soc/Econ/Health),behavior
"Neurons ___&amp;___ data(v,v); glia ___&amp;___ neurotransmitters","Neurons ___&amp;___ data(v,v); glia ___&amp;___ neurotransmitters",Transmit &amp; receive; respond &amp; secrete<div>Many types of neurons: Purkinje (cerebellum); somatosensory (skin)</div>,Anthro (Psych/Soc/Econ/Health),neurobiology
Darwin’s three key observations,Darwin’s three key observations,Variation<div>heredity</div><div>Competition</div>,Anthro (Psych/Soc/Econ/Health),behavior
Problems with self-reported data,Problems with self-reported data,"""Demand characteristics: Responding in a&nbsp;<span style=""""color: var(--field-fg); font-family: -apple-system-body; background: var(--field-bg);"""">socially desirable way.&nbsp;</span><div>Retrospective bias: Misremembering the past <span style=""""color: var(--field-fg); font-family: -apple-system-body; background: var(--field-bg);"""">when answering questions about it.</span></div>""",Anthro (Psych/Soc/Econ/Health),behavior
Correlation coefficient (r),Correlation coefficient (r),"""A measure of the <span style=""""color: var(--field-fg); font-family: -apple-system-body; background: var(--field-bg);"""">strength and direction of the linear relationship </span><span style=""""color: var(--field-fg); font-family: -apple-system-body; background: var(--field-bg);"""">between two variables.&nbsp;</span><div><font face=""""-apple-system-body"""">Rangers negative 1 to 1, values closer to zero mean weaker correlation</font></div>""",Anthro (Psych/Soc/Econ/Health),perception
David Hume’s Principle of Association,David Hume’s Principle of Association,“It is a habit of mind that a constantly conjoined pair of events is seen as related “,Anthro (Psych/Soc/Econ/Health),behavior
WEIRD participants crowd sample,WEIRD participants crowd sample,"Western, Educated, Industrialized, Rich, and Democratic",Anthro (Psych/Soc/Econ/Health),behavior
Proximate vs. ultimate cause/explanation,Proximate vs. ultimate cause/explanation,"""-proximate: point to immediate causes of the behavior within the individual’s lifetime; how do psychological, physiological, and sociocultural mechanisms enable the behavior?<div>-ultimate: point to long-term causes of the behavior; how did the behavior originate in a species and how has it evolved?</div><div><br></div><div>Proximate causes are&nbsp;<i>most</i>&nbsp;immediately responsible for the specified result<br>Ultimate causes are&nbsp;<i>most</i>&nbsp;directly responsible for the result, i.e. the """"real"""" reason<br>-Ultimate causes can be proximate causes in relation to more ultimate causes<br><br><a href=""""https://en.wikipedia.org/wiki/Proximate_and_ultimate_causation"""">https://en.wikipedia.org/wiki/Proximate_and_ultimate_causation</a><br></div>""",Anthro (Psych/Soc/Econ/Health),behavior
"Perceiving depth, size, and difference","Perceiving depth, size, and difference",Binocular disparity<div>Interposition</div><div>Proximal (close to the brain) can be a clue to the size of the distal stimulus</div><div>Ponzo illusion - our brain assumes a size constancy &nbsp;to objects they move through space; this perspective can fail us</div>,Anthro (Psych/Soc/Econ/Health),perception
Classical conditioning,Classical conditioning,Pioneered by Pavlov (trained as physiologist)<br>Consciousness can be conditioned to respond more strongly to certain stimulus<div>-often non-conscious</div><div>-helps us prepare for future events</div>,Anthro (Psych/Soc/Econ/Health),behavior
Watson’s wager,Watson’s wager,"“There is no such thing as inheritance of capacity, talent… and behavioral characteristics.”",Anthro (Psych/Soc/Econ/Health),behavior
Operant conditioning,Operant conditioning,Thorndike’s law of effect: behavior is a function of its consequences; I.e. survival of the smartest<div>BF Skinner 1904-1990</div>,Anthro (Psych/Soc/Econ/Health),behavior
Pupil as pinhole; photoreceptor; fovea; periphery,Pupil as pinhole; photoreceptor; fovea; periphery,"Dilating the pupil causes the image to become blurry<div>Both the cornea and the lens are lenses basically</div><div>Adjustable lens - ⅓ of focusing power</div><div>When light hits the top of a photoreceptor, the output is graded based on the input</div><div>With only one photoreceptor present, Rods only read the intensity of light</div><div>3 kinds of cones: small (blues), medium (greens), large (red)</div><div>Non uniform retina tiling: small photoreceptor in center of gaze (fovea) where the optics produce the best image, and larger photoreceptors in the periphery</div><div>At each distance from the fovea the rods are smaller than the cones&nbsp;</div><div>Consequence: lower spatial resolution in the periphery</div><div>The fovea contains only cones</div><div>There are 100 million photoreceptors per retina</div><div>Compute and process 1.2 million worth with a neutral layer after the optic layer</div><div>There’s a blind spot in your visual field where the retina has no photoreceptors</div><div>Light enters through the ganglion cells, passes through bipolar/horizontal/amacrine cells, gets to photoreceptors and is transduced (computed), then travels back through the layers to the ganglion where it can be read by the brain as data</div><div>Fun: the size of dendritic trees of ganglion neurons increases with distance from the fovea</div><div>So the peripheral ganglion neurons sum information from more photoreceptors than the foveal neurons</div>",Anthro (Psych/Soc/Econ/Health),perception
Degrees of eccentricity,Degrees of eccentricity,Valuation your visual Field<div>One degree of eccentricity is a single fingernail on an outstretched arm&nbsp;</div><div>High visual acuity in nexus point of vision</div>,Anthro (Psych/Soc/Econ/Health),perception
Non-invasive research techniques,Non-invasive research techniques,"Observational<div>-descriptive</div><div>-correlational</div><div><br></div><div>Electroencephalogram (eeg)</div><div>Structural &amp; functional magnetic resonance imaging</div><div>fMRI study design: contrast, compare activity by condition</div>",Anthro (Psych/Soc/Econ/Health),behavior
Evolutionary behavioral implications,Evolutionary behavioral implications,"<div>Reasons for helping others(animals):</div>Kin selection<div>Reciprocity, direct and indirect - requires observation</div><div><br></div><div>In humans:</div><div>Large group living, high-maintenance infants, hunting requires cooperation</div><div><br></div><div>Warneken et Al. 2011- human children share resources attained through collaboration</div><div>Melis et Al. 2011 - chimps use “first come, first served” regardless of collaboration</div>",Anthro (Psych/Soc/Econ/Health),behavior
🦠Neurons’ information flow,🦠Neurons’ information flow,"""Conduct: an action potential is fired down the axon<div>Transmit: as the action potential reaches the end of the neuron, chemicals called neurotransmitters (endogenous chemical messengers) are released into the synapse</div><div>Action terminal -&gt; synaptic cleft -&gt; dendritic spine</div><div>What distinguishes thought from individual neurons firing?</div><div>Frequency, pattern, and place<br></div><div><br></div><div>Neural/Neuron maturation stages<br>synaptogenesis: new synapse creation<br>Pruning: reduction of synaptic connections according to """"use or lose"""" principle<br>myelination: creation of myelin (white matter) along axons to speed neural communication<br></div><div><br></div><div>Total output of a neuron&nbsp;<br>Weighted sum of excitatory and inhibitory synapses<br></div><div><br></div><div>Representational Drift<br>-Stored information allows for uniform behavior through continuous reconfiguration as neuronal activity fluctuates<br>-error signals between interconnected brain regions can be used to keep neural codes consistent despite changes<br><a href=""""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7385530/"""">https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7385530/</a><br></div><div><br></div><div><br></div><div>Neural clustering: related neurons are close together. Pro and con:<br>Pro: minimize wiring costs; increase efficiency<br>con: agnosias; visual (object) agnosia vs. prosopagnosia (Face)<br></div><div><br></div><div><br></div><div>3 things that determine aggregate thought from neuron firing<br>Frequency, pattern, and place<br></div>""",Anthro (Psych/Soc/Econ/Health),adaptation;cognition;neurobiology;psychology
Kuffler &nbsp;- Ganglion Response experiment design,Kuffler &nbsp;- Ganglion Response experiment design,1. Ah subject to fixate in spot in visual field<div>2. Place stimulus object relative to fixation</div><div>3. Ganglion neuron responds</div><div>4. Neutral responses are measured as changes on the firing rate</div><div><br></div><div>The receptive field is the part of visual space that the neuron responds</div><div>He was correct; the response is proportional to the stimulus</div><div><br></div><div>Output depends on area of overlap between between light and excitatory/ &amp; inhibitory synapses</div>,Anthro (Psych/Soc/Econ/Health),perception
Proximal and distal stimulus,Proximal and distal stimulus,-distal stimulus hits the eye and is transformed into proximal stimulus within<div>-size of proximal stimulus is proportional to the size of the distal stimulus</div><div>The brain integrates info about retina size and depth</div>,Anthro (Psych/Soc/Econ/Health),neurobiology
Thorndike’s law of Effect,Thorndike’s law of Effect,Behavior is a function of its consequences; survival of the fittest actions,Anthro (Psych/Soc/Econ/Health),behavior
Positive/negative reinforcement/punishment,Positive/negative reinforcement/punishment,Positive reinforcement: reward success<div>Positive punishment: punish failure</div><div>Negative reinforcement: reward failure</div><div>Negative punishment: punish failure</div>,Anthro (Psych/Soc/Econ/Health),behavior
Memory types,Memory types,"""1.Sensory- records iconic (1/10s) and echoic&nbsp;<div>2. Working- flexible duration &amp; limited capacity</div><div>3 long-term - potentially unlimited capacity &amp; duration; specificity</div><div><br></div><div><span style=""""color: var(--field-fg); font-family: -apple-system-body; background: var(--field-bg);"""">long-term;</span><br></div><div>Implicit/nondeclarative - how to do basic tasks</div><div>Explicit/declarative - split into Semantic-facts and Episodic-events</div><div><br></div><div>input to sensory<br>attention to short-term</div><div>rehearsal in short-term<br>encoding to long-term<br>retrieval to short-term</div><div><br></div><div><div>Encoding is what takes knowledge from working memory to long-term memory</div><div>Elaboration is the process of deliberately relating new information to known information</div><div>Memory retrieval is an active process of reconstruction using any info at disposal; we can lose track of origins in&nbsp;<b>source confusion</b></div></div>""",Anthro (Psych/Soc/Econ/Health),behavior
An action potential results most directly from ______,An action potential results most directly from ______,"The depolarization of the cell membrane (sarcolemma),&nbsp;<div><br></div><div>which opens up voltage-sensitive sodium channels; these become inactivated and the membrane is repolarized through the outward currents of potassium ions</div>",Anthro (Psych/Soc/Econ/Health),neurobiology
Heroin&nbsp;,Heroin&nbsp;,"Binds to and activates MORs (Mu-opioid receptors), which typically only bind to neurotransmitters to regulate pain, hormone release, and feelings of wellbeing. Once bound to, the MORs stimulate release of dopamine",Anthro (Psych/Soc/Econ/Health),neurobiology
🧠Sections of the Brain,🧠Sections of the Brain,"""Nervous system division<br>Central division contains brain and spinal cord<div>Peripheral division contains autonomic &amp; somatic nervous systems</div><div>Autonomic contains sympathetic &amp; parasympathetic nervous systems</div><div><br></div><div>3 Axes of Brain:<br>Axial is parallel to ground<div>Coronal splits anterior from posterior</div><div>Sagittal splits left from right</div></div><div><br></div><div>Amygdala<br>Controls our emotions stored with experiences; recall; reward system; fight or flight<div>Almond shaped; we have two</div></div><br><div>Language: Broca's (speech) vs Wernicke's (comprehension) Area<br></div><div>Broca’s area is in the&nbsp;<span style=""""font-weight: bold;"""">frontal lobe&nbsp;</span>in and around the&nbsp;<span style=""""font-weight: bold;"""">inferior frontal gyrus</span></div><div><b>Aphasia:</b>&nbsp;understanding is good, articulation is difficult, intelligence intact</div><div><span style=""""font-weight: bold;""""><br></span></div><div><div>Wernicke’s area is in the temporal lobe in and around the superior temporal sulcus and angular gyrus</div></div><div><b>aphasia:</b>&nbsp;understanding is poor, artiiculation is effortless, meaning impaired</div><br>Cerebellum<br>Fist-sized; sits under the brain’s major lobes and is attached to the brain stem.&nbsp;<div>It is partially responsible for your sense of balance, posture, your coordination, fine motor movement, and timing precision.&nbsp;<div>When someone’s cerebellum is damaged, they lose some of their acuity for accurate timing and motion.</div></div><br>Frontal lobe<br>Motor control (premotor cortex)<div>Executive function &amp; Problem solving (prefrontal area)</div><div>Speech production (Broca’s area)</div><div>Empathy &amp; social reasoning</div><br>Hippocampus<br>Seahorse-shaped; one on the underside of each temporal lobe<div>The overall hippocampal formation supports memory, learning, navigation and perception of space</div><div>Receives information from cerebral cortex</div><div><br></div><div><b>Hypothalamic-Pituitary-Adrenal (HPA) Axis</b><div>Primary driver of the endocrine stress response</div><div>The hypothalamus signals the pituitary gland to produce a hormone, Which in turn signals the adrenal glands, above the kidneys, to&nbsp;<span style=""""color: var(--field-fg); background-image: ; background-position-x: ; background-position-y: ; background-size: ; background-repeat-x: ; background-repeat-y: ; background-attachment: ; background-origin: ; background-clip: ;"""">Increase production of steroid hormones called glucocorticoids, which include Cortisol, the “stress hormone”</span></div></div><div><br></div><div>Medulla<br>Where the brain meets the spinal cord; cone-shaped<div><div>Regulates heart rhythm, breathing, blood flow, and oxygen + co2 levels, vasomotor &amp; sleep/wake</div><div>Produces sneezing, swallowing, coughing and vomiting</div></div></div><div><br></div><div>Occipital lobe<br>Back of the brain, behind everything &amp; above cerebellum<div>Sight (visual cortex)</div><div>Visual reception &amp; interpretation</div></div><div><br></div><div>Parietal lobe&nbsp;<br>Sits behind frontal &amp; above/in front of occipital lobe<div>Touch perception(somatosensory cortex)</div><div>Body orientation &amp; sensory discrimination</div></div><div><br></div><div>Pineal gland<br>Deep in the brain, attached by a stalk to the top of the third ventricle<div>Responds to light conditions and secretes melatonin</div></div><div><br></div><div><div>Pons<br></div><div>Origin for four of twelve cranial nerves</div><div>Regulates chewing, blinking, focusing vision, tear production, balance, hearing, and facial expression</div>Latin for “bridge”, connects midbrain to medulla<br></div><div><br></div><div>Prefrontal Cortex<br>Prefrontal cortex is slowest part of brain to mature<br>Executive functions: planning &amp; working memory; control of attention &amp; behavior (<b>inhibition</b>)<br><div><div><div><div><ul><li><div>Frontal lobe continues to mature into early 20’s</div></li><li><div>“Not all adolescents make bad decisions, but a lot of bad decisions are made by adolescents”</div><div>– Galvin, 2008&nbsp;</div></li></ul><div><br></div><div><br></div><div><br></div><div><div>Temporal lobe<br></div><div>Under the frontal and parietal lobes, in front of occipital</div>Auditory processing cortex (A1) in superior temporal gyrus<br>A1 """"receives point-to-point&nbsp;<a href=""""https://www.ncbi.nlm.nih.gov/books/n/neurosci/A2251/def-item/A2546/"""">input</a>&nbsp;from the&nbsp;<a href=""""https://www.ncbi.nlm.nih.gov/books/n/neurosci/A2251/def-item/A2955/"""">ventral</a>&nbsp;division of the&nbsp;<a href=""""https://www.ncbi.nlm.nih.gov/books/n/neurosci/A2251/def-item/A2609/"""">medial geniculate complex</a>; thus, it contains a precise tonotopic&nbsp;<a href=""""https://www.ncbi.nlm.nih.gov/books/n/neurosci/A2251/def-item/A2605/"""">map</a>.""""<br><a href=""""https://www.ncbi.nlm.nih.gov/books/NBK10900/"""">https://www.ncbi.nlm.nih.gov/books/NBK10900/</a><br><div>Language comprehension (Wernicke’s area)</div><div>Memory &amp; information retrieval</div></div><div><br></div><div><br></div></div></div></div></div></div><div>Ventricles - Four open areas with passageways between them<div>Manufacture CerebroSpinal fluid, which circulates through ventricles, spinal cord, and meninges</div><div>CSF surrounds and cushions spinal cord and brain, delivers nutrients, washes waste&nbsp;</div></div><div><br></div><div>Major Neurotransmitters<br><ul><li>Amines</li><li>dopamine</li><li>serotonin</li><li>Peptides (e.g. opioids)</li><li>Amino acids</li><li>glutamate</li><li>GABA</li></ul><div><br></div></div><div>Superior temporal sulcus (STS) - Area most sensitive to biological motion<br></div><div><br></div><div>Mirror neuron<br>A brain cell that reacts both when a particular action is performed and when it is only observed<br></div><div><br></div><div><br></div><div>Dysfunction:<br>inability to recognize stimuli, not due to sensory hardware issues<div>&nbsp; &nbsp; &nbsp; • Prosopagnosia: inability to recognize familiar faces, not due to sensory hardware issues (1 in 50 adults)</div><div>&nbsp; &nbsp; &nbsp; • Fusiform Gyrus damage produces same effect</div></div>""",Anthro (Psych/Soc/Econ/Health),formula;neurobiology;psychology
Stimulus generalization,Stimulus generalization,Ability to behave in a new situation in a way that has been learned in similar situations,Anthro (Psych/Soc/Econ/Health),behavior
Reinforcement schedules,Reinforcement schedules,Fixed interval - reward after set time; moderate response with significant pauses after reinforcement; hospital pain relief<div>Variable interval - condition flux; moderate yet steady response rate; checking Facebook</div><div>Fixed ratio - set number of required responses before reward; high response rate with pauses after reinforcement; piecework</div><div>Variable ratio - number of responses needed for a reward varies; most powerful partial reinforcement schedule; gambling; high &amp; steady response</div>,Anthro (Psych/Soc/Econ/Health),behavior
Blind spot (scotoma),Blind spot (scotoma),"Lack of receptors (rods or cones) where the optic nerve and blood vessels leave the eye, passing through the optic disc",Anthro (Psych/Soc/Econ/Health),neurobiology
Weber’s law,Weber’s law,"Perception of stimulus change is a relative proportional percentage based on the magnitude of the stimuli&nbsp;<div>JND is calculated with the Weber fraction, the ratio of the minimum change in stimulus magnitude over the magnitude of the stimulus itself</div><div>W=🔺I/I</div><div>See: Just Noticeable difference, McShefferty et al 2015</div>",Anthro (Psych/Soc/Econ/Health),perception
Light Ingest for the Human Eye,Light Ingest for the Human Eye,"<div>Light enters the eye by passing through the cornea. The iris controls the amount of light entering the eye, and the lens focuses the light on the retina.</div>",Anthro (Psych/Soc/Econ/Health),perception
Main utility of two eyes in front of face,Main utility of two eyes in front of face,Stronger stereo vision; texture cues,Anthro (Psych/Soc/Econ/Health),perception
Visual transduction,Visual transduction,The sensory transduction process of the visual system by which light is detected to yield nerve impulses in the rod cells and cone cells in the retina of the eye in humans and other vertebrates,Anthro (Psych/Soc/Econ/Health),perception
Construal,Construal,"The way that people perceive, comprehend, and interpret their sensory input",Anthro (Psych/Soc/Econ/Health),behavior
Learned taste aversion,Learned taste aversion,Learned association between the taste of a particular food and illness such that the food is considered to be the cause of the illness,Anthro (Psych/Soc/Econ/Health),behavior
Learning – major types,Learning – major types,<div>One. Learning through association – classical conditioning; Pair neutral stimulus to trained stimulus</div><div>Elicited behavior is affected by some thing that occurs before behavior</div><div>Pioneered by Pavlov; focuses on involuntary automatic behaviors</div><div>Delay conditioning most effective: unconditioned stimulus is presented while condition stimulus is still occurring</div><div>Two. Learning through consequences – operant/instrumental conditioning</div><div>Operant behavior is affected by some thing that occurs after behavior</div><div>Pioneered by BF Skinner; involves applying reinforcement or punishment to strengthen or weaken voluntary behaviors</div><div>Three. learning through observation – modeling/observational learning</div>,Anthro (Psych/Soc/Econ/Health),behavior
🔔Conditioning Behavior,🔔Conditioning Behavior,"Law of effect<br>If a response is rewarded, that response will be strengthened. If the response is punished, it will be weekend.",Anthro (Psych/Soc/Econ/Health),behavior
Eye part 2,Eye part 2,"<div>components</div><div>Cornea: front part or “window“</div><div>Pupil: regulate amount of light entering eye</div><div>Iris: colored part of the eye</div><div>Lens: focuses images onto the retina</div><div>Retina: innermost layer of the eye composed of light sensitive cells</div><div>macula: responsible for central or “eagle eye“ vision</div><div>Optic nerve: collection of nerve endings attached to the retina</div><div><br></div><div>The cornea and lens work together to bend light rays toward the retina in a process called refraction</div><div>The cornea provides most of the refracting power because the corneal curve remains constant</div><div>The lens, however, can change shape to focus between different objects in a process called accommodation</div><div>Accommodation is achieved by a ciliary body, a large muscle inside the eye, changing the shape of the lens</div>",Anthro (Psych/Soc/Econ/Health),perception
Method of Loci (Memory palace),Method of Loci (Memory palace),"""Objects in a sequence are mentally """"placed"""" in locations along a familiar route<br>Dresler et al. 2017<br>Individuals trained in methods of loci for 6 weeks showed<div>-significant improvements in word list memorization</div><div>-increases in functional connectivity correlated with brain activity shown by memory athletes</div><div>-The extent to which you believe in fate weakens your ability to control it<br></div>""",Anthro (Psych/Soc/Econ/Health),behavior
Intelligence,Intelligence,"General mental capability including reasoning, problem-solving, complex comprehension",Anthro (Psych/Soc/Econ/Health),behavior
Heuristic,Heuristic,"Mental shortcut (thinking system 1) used to make judgements + decisions<br>See availability heuristic, affect heuristic, representativeness heuristic<br>EFFORT &amp; STRAIN REDUCTION IN DECISION-MAKING<br><br><br>Availability Heuristic<br>strategy for determining how frequent or probable something is based on how easily it comes to mind<br><br>Schwarz et al 1991 - The more you are pressed to think of available anecdotes, the less relevant those anecdotes will become",Anthro (Psych/Soc/Econ/Health),behavior;heuristic
👁️👂Psychology of Perception,👁️👂Psychology of Perception,"Perceptual narrowing<br>de-focusing from contrast that does not matter to input parsing anymore<br><br>Voice Onset Time (VOT)<br>the length of time between when a consonant is released and the vocal chords start vibrating (voicing)<br>b &lt; p as far as VOT<br>As VOT becomes a gradient, there is a concrete point where perception of one thing becomes perception of the other",Anthro (Psych/Soc/Econ/Health),perception
🗨️Psycholinguistics History,🗨️Psycholinguistics History,"""Whorfian (Sapir-Whorf) Hypothesis(1920s-ish) - Language shapes the way we think. AKA Linguistic Determinism<br><br>Delayed gratification<br><img src=""""Screenshot 2022-12-12 at 4.00.40 PM.png""""><br><div><div><div><div><div>Walter Mischel (1930-2018)</div><div>Based on Shoda, Mischel, &amp; Peake (1990)<br></div><div><br></div><div>Levinson 2003<br>English speakers will place objects in an identical order when asked to rearrange; Tseltal speakers will mirror the original configuration<br></div><div>&nbsp;</div></div></div></div></div>""",Anthro (Psych/Soc/Econ/Health),Example;history
Defining Emotions,Defining Emotions,"Bio-based reactions to situations seen as personally relevant<br>shaped by learning &amp; experience<br>usually involve changes in: subjective experience, expressive behavior, physiology",Anthro (Psych/Soc/Econ/Health),behavior
Happiness in Psych Studies,Happiness in Psych Studies,"""Diener 2000<br><img src=""""Screenshot 2022-11-04 at 9.56.35 AM.png"""">""",Anthro (Psych/Soc/Econ/Health),Example;formula;history
The hedonic vs eudaimonic perspective on happiness,The hedonic vs eudaimonic perspective on happiness,Hedonism s a state of subjective well-beiing involving frequent positive emotion &amp; infrequent negative emotion. Thus happiness is equated to emotion<br>Eudaimonic perspective - happiness as meaning<br>H is an overall sense of one's life as satisfying and meaningful,Anthro (Psych/Soc/Econ/Health),behavior;health;philosophy
Prediction Error,Prediction Error,happiness response especally active in brain when good things exceed expectations (prediction error),Anthro (Psych/Soc/Econ/Health),behavior
Hedonic treadmill,Hedonic treadmill,both positive and negative emotional effects of an experience wear off over time,Anthro (Psych/Soc/Econ/Health),behavior
😊Happiness Psychology Literature,😊Happiness Psychology Literature,"""Iyengar &amp; Lepper 2001 - The paradox of choice - although we want choices, too many choices makes decisions more difficult and less satisfying.<br><br><img src=""""Screenshot 2022-11-04 at 9.26.46 AM.png""""><br><br><br>Seligman EA 2005; Lyubomirsky 2006<br>Gratitude journals help increase happiness, even 6 months after exercise<br><br><br><br>Lacking resources is cognitively expensive<br>Mullainathan and Shafir<br><div><div><div><div><div><b>Mani et al., 2014:</b>&nbsp;Poverty impedes cognitive function, working memory, depletes ego, causes self-regulatory failures like overeating &amp; overspending bc such strain taxes the poor's limited self-regulatory resources</div><div><a href=""""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4511075/"""">https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4511075/</a></div></div></div></div></div><div><br></div><div><br></div><div>Mauss et al 2011; Ford et al 2014<br><img src=""""Screenshot 2022-11-04 at 10.01.21 AM.png""""><br></div><div><br></div><div><br></div>""",Anthro (Psych/Soc/Econ/Health),behavior;history;perception;persuasion;psychology
Social influence,Social influence,"change in one's thoughts, feelings, actions due to others<br>Major kinds:<br><b>Conformity</b>: changing one to fit the others<br><b>obedience:</b>&nbsp;changing one to fit the demands of a more powerful other",Anthro (Psych/Soc/Econ/Health),behavior
Social Learning Theory,Social Learning Theory,Social behavior learned by observing &amp; imitating others<br>Albert Bandura@stanford,Anthro (Psych/Soc/Econ/Health),behavior
Compassion Collapse,Compassion Collapse,blunting of care as the number of people in need increases,Anthro (Psych/Soc/Econ/Health),behavior
Retina Light Ingest Process,Retina Light Ingest Process,"""<img src=""""Screenshot 2022-11-04 at 10.53.41 AM.png"""">""",Anthro (Psych/Soc/Econ/Health),perception
🌱Developmental Psych,🌱Developmental Psych,"""Brain Maturity Development Stages/Timeline<br><img src=""""41582_2014_Article_BFnrneurol2014187_Fig1_HTML.jpg""""><br><br><div>False-belief task from theory of mind studies.</div><div>Children must infer that another person does not possess the knowledge that they possess.</div><div>children of three years or younger often cannot make this distinction.</div>""",Anthro (Psych/Soc/Econ/Health),history;psychology
